カテゴリー,ペルシア語,ローマ字,日本語,英語,備考,レベル
家・家具,باکس,baks,箱,box,,A1
家・家具,پرده,parde,カーテン,curtain,,A1
家・家具,تخته خواب,takhte khab,ベッド,bed,,A1
家・家具,کمد,komod,タンス,closet/wardrobe,,A1
家・家具,رختخواب,rakhtekhab,布団・寝具,bedding,,A1
家・家具,آینه,ayne,鏡,mirror,,A1
家・家具,قالی,ghali,絨毯,carpet/rug,,A1
家・家具,میز تحریر,mize tahrir,机,desk,,A1
家・家具,میز ناهارخوری,mize naharkhari,テーブル,dining table,,A1
家・家具,میز عسلی,mize asali,コーヒーテーブル,coffee table,,A1
家・家具,لامپ / چراغ,lamp / cheragh,電灯・ランプ,lamp/light,,A1
家・家具,رختکن,rakhtkan,クローゼット,closet/wardrobe,,A1
家・家具,کابینت,kabinet,キャビネット,cabinet,,A1
家・家具,یخچال,yakhchal,冷蔵庫,refrigerator,,A1
家・家具,قفسه کتاب,ghafase ketab,本棚,bookshelf,,A1
家・家具,دیوار,divar,壁,wall,,A1
家・家具,مبلمان,mobleman,家具,furniture,,A1
家・家具,سطل زباله / سطل آشغال,satle zobale / satle ashghal,ゴミ箱,trash can,,A1
家・家具,دسته صندلی,daste sandali,アームレスト,armrest,,A1
方角・地理,شمال,shomal,北,north,,A2
方角・地理,جنوب,jonub,南,south,,A2
方角・地理,شرق / خاور,shargh / khavar,東,east,,A2
方角・地理,غرب,gharb,西,west,,A2
方角・地理,جزیره,jazire,島,island,,A2
方角・地理,پایتخت,payetakht,首都,capital city,,A2
自然・天気,بهار,bahar,春,spring,,A2
自然・天気,ابر,abr,雲,cloud,,A2
自然・天気,ابری,abri,曇り,cloudy,,A2
自然・天気,باد,bad,風,wind,,A2
自然・天気,آسمان,aseman,空,sky,,A2
自然・天気,رعد و برق,rad o bargh,雷,thunder & lightning,,A2
自然・天気,تگرگ,tagarg,雹,hail,,A2
自然・天気,مه آلود,meh alud,霧,fog/foggy,,A2
自然・天気,شرجی,sharji,蒸し暑い,humid,,A2
自然・天気,خنک,khonak,涼しい,cool,,A2
自然・天気,هواشناسی,havashenasi,天気予報,weather forecast,,A2
自然・天気,فصل,fasl,季節,season,,A2
自然・天気,جنگل,jangal,森,forest,,A2
自然・天気,آتش / آتیش,atash,火,fire,,A2
自然・天気,باغ,bagh,庭,garden,,A2
自然・天気,حیاط,hayat,庭,yard/courtyard,,A2
衣服,جوراب,jurab,靴下,socks,,A1
衣服,کمربند,kamarband,ベルト,belt,,A1
衣服,کفش ورزشی,kafsh varzeshi,スニーカー,sneakers/sports shoes,,A1
衣服,شلوار,shalvar,ズボン,pants/trousers,,A1
衣服,کلاه,kolah,帽子,hat,,A1
衣服,ژاکت,zhaket,ジャケット,jacket,上着・ボタン付き,A1
衣服,چکمه,chakme,ブーツ,boots,,A1
衣服,پیراهن,pirahan / pirhan,シャツ,shirt,,A1
衣服,روسری,rusari,スカーフ,scarf,,A1
衣服,شال,shal,長いスカーフ,shawl,,A1
衣服,پالتو,palto,オーバーコート,overcoat,,A1
衣服,آستین بلند,astin boland,長袖,long sleeve,,A1
衣服,آستین کوتاه,astin kutah,半袖,short sleeve,,A1
衣服,یقه,yaghe,ネック,neckline/collar,Vネック,A1
衣服,یقه گرد,yaghe gerd,丸首,round neck,,A1
